data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8829664,48,BHR10255,10255,"11 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,Barbar,26.2294,50.4806,1,"14 February Revolution Youth Coalition; Duraz Mirror","Other-New media","On 11 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in Barbar (Northern) in anticipation of February 14 that marks the 11th anniversary of the Bahrain uprising. [size=no report]",0,1644873439,BHR
8830029,48,BHR10258,10258,"11 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"14 February Revolution Youth Coalition",Other,"On 11 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in the western part of Manama city (Capital) demanding more political rights. The protest also took place in anticipation of February 14 that marks the 11th anniversary of the Bahrain uprising. The protesters also held signs expressing gratitude to Hezbollah leader Hasan Nasrallah for his support. [size=no report]",0,1644873439,BHR
8830031,48,BHR10256,10256,"11 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition",Other,"On 11 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in Sanabis (Capital) demanding more political rights and expressing support of political prisoners. The protest also took place in anticipation of February 14 that marks the 11th anniversary of the Bahrain uprising. [size=no report]",0,1644873439,BHR
8830033,48,BHR10257,10257,"11 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sitrah,26.1547,50.6206,1,"14 February Revolution Youth Coalition",Other,"On 11 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in Sitrah (Capital) demanding more political rights and expressing support of political prisoners. The protest also took place in preparation for February 14 that marks the 11th anniversary of the Bahrain uprising. [size=no report]",0,1644873439,BHR
8830035,48,BHR10264,10264,"11 February 2022",2022,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Northern,,,"Bu Quwa",26.2047,50.52,2,"14 February Revolution Youth Coalition",Other,"On 11 February 2022, anti-regime demonstrators, including February 14 Youth Coalition, confronted (presumably physically) pro-regime forces (coded as Bahrain police) in 'February 14 Street' near Bu Quwa (Northern) demanding political rights and 'the right of self-determination'. [size=no report]",0,1644873439,BHR
8829663,48,BHR10254,10254,"10 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sitrah,26.1547,50.6206,1,"14 February Revolution Youth Coalition; LuaLua TV; Duraz Mirror","Other-New media","On 10 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in Sitrah (Capital) in anticipation of February 14 that marks the 11th anniversary of the Bahrain uprising. The protesters also held signs expressing gratitude to Hezbollah leader Hasan Nasrallah for his support. [size=no report]",0,1644873439,BHR
8829666,48,BHR10260,10260,"09 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"LuaLua TV; 14 February Revolution Youth Coalition",Other-National,"On 9 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in the southern part of Manama (Capital) in anticipation of February 14 that marks the 11th anniversary of the Bahrain uprising. The protesters also expressed support for political leader Sheikh Isa Qassim, whose nationality has been stripped by the Bahraini authorities in 2016 due to his role in the opposition and now resides in Iran. [size=no report]",0,1644873439,BHR
8830030,48,BHR10261,10261,"09 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"14 February Revolution Youth Coalition",Other,"On 9 February 2022, anti-regime protesters, including February 14 Youth Coalition, demonstrated in the western part of Manama (Capital) demanding justice for all citizens that were killed in anti-regime demonstrations. [size=no report]",0,1644873439,BHR
8830032,48,BHR10262,10262,"09 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition",Other,"On 9 February 2022, protesters, including February 14 Youth Coalition, demonstrated in Sanabis (Capital) demanding the release of political prisoners. The protest also took place in anticipation of February 14 that marks the 11th anniversary of the Bahrain uprising. [size=no report]",0,1644873439,BHR
8830034,48,BHR10265,10265,"09 February 2022",2022,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Northern,,,"Bani Jamrah",26.2097,50.4597,2,"14 February Revolution Youth Coalition",Other,"On 9 February 2022, anti-regime demonstrators, including February 14 Youth Coalition, threw Molotov cocktails at a police car in front of Al Khalil Mosque on the Janabiyah Highway (between Bani Jamrah and Budaiya) (Northern) demanding justice for all citizens that were killed in anti-regime demonstrations. [size=no report]",0,1644873439,BHR
8829665,48,BHR10259,10259,"07 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition; Bahrain Alyoum; AhlulBayt News Agency",Other-National,"On 7 February 2022, protesters, including February 14 Youth Coalition, protested in Sanabis (Capital) demanding the release of political prisoners. The protesters also denounced the Bahraini government's decision to normalize relations with Israel and condemned the actions of Saudi Arabia and its allies in Yemen. [size=no report]",0,1644873439,BHR
8829667,48,BHR10263,10263,"06 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"AhlulBayt News Agency; Bahrain Alyoum",National-Regional,"On 6 February 2022, protesters demonstrated in Manama (Capital) against the visit of Israeli Defense Minister Benny Gantz to the city and against the Bahraini government's decision to normalize relations with Israel. [size=no report]",0,1644873439,BHR
8819440,48,BHR10252,10252,"04 February 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"14 February Revolution Youth Coalition; LuaLua TV; Manama Post",Other-National,"On 4 February 2022, protesters, including February 14 Youth Coalition, demonstrated in Manama (Capital) against the visit of Israeli Defense Minister Benny Gantz to the city and against the Bahraini government's decision to normalize relations with Israel. The protesters stepped on the Israeli flag. [size=no report]",0,1644270497,BHR
8819668,48,BHR10251,10251,"03 February 2022",2022,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition",Other,"On 3 February 2022, demonstrators, including February 14 Youth Coalition, blocked traffic by starting fires in public roads in Sanabis (Capital) demanding the release of political prisoners and expressing support for Ahmad Jaafar, a political prisoner who was recently extradited by the Serbian government and handed over to the Bahraini authorities. Jaafar is a political dissident that has been given to 3 life sentences and tortured by the Bahraini authorities according to several reports. [size=no report]",0,1644270498,BHR
8806982,48,BHR10247,10247,"22 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition",Other,"On 22 January 2022, protesters, including February 14 Youth Coalition, demonstrated in Sanabis (Capital) in support of Abduljalil as Sinkis, a political prisoner who is carrying out a hunger strike in prison. The protesters demanded the release of all political prisoners. [size=no report]",0,1643668928,BHR
8819765,48,BHR10246,10246,"22 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"Al Wafa; Unews Press Agency; ADHRB; AhlulBayt News Agency; Bahrain Alyoum; 14 February Revolution Youth Coalition; LuaLua TV",Other-National,"On 22 January 2022, protesters, including February 14 Youth Coalition, demonstrated west of Manama (Capital) condemning the actions of the 'Saudi-Emirati coalition' in Yemen and in support of the Yemeni people during the ongoing conflict. [size=no report]",0,1644271364,BHR
