city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Manama,26.2250,50.5775,Bahrain,BH,Al ‘Āşimah,primary,157474,157474
Al Muḩarraq,26.2500,50.6167,Bahrain,BH,Al Muḩarraq,,75000,75000
Madīnat Ḩamad,26.1128,50.5139,Bahrain,BH,Ash Shamālīyah,,52700,52700
Madīnat ‘Īsá,26.1736,50.5478,Bahrain,BH,Al Janūbīyah,,40000,40000
Kaflān,26.1833,50.5833,Bahrain,BH,,,,
Karbābād,26.2303,50.5294,Bahrain,BH,Al ‘Āşimah,,,
Jabalat Ḩabashī,26.2172,50.5275,Bahrain,BH,Ash Shamālīyah,,,
‘Ayn ad Dār,26.2167,50.5333,Bahrain,BH,Al ‘Āşimah,,,
Ḩillat ‘Abd aş Şāliḩ,26.2214,50.5167,Bahrain,BH,Ash Shamālīyah,,,
Al Muqshā‘,26.2197,50.5231,Bahrain,BH,Al ‘Āşimah,,,
Al Muwaylighah,26.2067,50.5589,Bahrain,BH,Al ‘Āşimah,,,
Manī,26.2167,50.5500,Bahrain,BH,Al ‘Āşimah,,,
Jidd Ḩafş,26.2186,50.5478,Bahrain,BH,Al ‘Āşimah,,,
Al Busaytīn,26.2694,50.6078,Bahrain,BH,Al Muḩarraq,,,
Ḩālat an Na‘īm,26.2389,50.6353,Bahrain,BH,Al Muḩarraq,,,
Rayyā,26.2833,50.6333,Bahrain,BH,Al Muḩarraq,,,
‘Arād,26.2561,50.6322,Bahrain,BH,Al Muḩarraq,,,
Samāhīj,26.2800,50.6350,Bahrain,BH,Al Muḩarraq,,,
Ad Dayr,26.2842,50.6236,Bahrain,BH,Al Muḩarraq,,,
Ḩālat as Sulţah,26.2428,50.6386,Bahrain,BH,Al Muḩarraq,,,
Az Zimmah,26.2553,50.6469,Bahrain,BH,Al Muḩarraq,,,
Qalālī,26.2733,50.6503,Bahrain,BH,Al Muḩarraq,,,
Ḩālat al Khulayfāt,26.2500,50.6333,Bahrain,BH,Al Muḩarraq,,,
Al Ḩadd,26.2456,50.6542,Bahrain,BH,Al Muḩarraq,,,
Umm ash Shajar,26.2283,50.6558,Bahrain,BH,Al Muḩarraq,,,
Ḩālah,26.1733,50.6214,Bahrain,BH,Al ‘Āşimah,,,
Marqūbān,26.1642,50.6183,Bahrain,BH,Al ‘Āşimah,,,
Sufālah,26.1628,50.6256,Bahrain,BH,Al ‘Āşimah,,,
Ḩālat Umm al Bayḑ,26.1167,50.6333,Bahrain,BH,Al Janūbīyah,,,
Al ‘Akr,26.1431,50.6103,Bahrain,BH,Al ‘Āşimah,,,
Al Ma‘āmīr,26.1333,50.6086,Bahrain,BH,Al Janūbīyah,,,
Jidd ‘Alī,26.1792,50.5603,Bahrain,BH,Al ‘Āşimah,,,
Sitrah,26.1547,50.6206,Bahrain,BH,Al ‘Āşimah,,,
Jurdāb,26.1694,50.5753,Bahrain,BH,Al ‘Āşimah,,,
Sanad,26.1503,50.5819,Bahrain,BH,Al ‘Āşimah,,,
Al Khārijīyah,26.1636,50.6047,Bahrain,BH,Al ‘Āşimah,,,
Kawrah,26.1833,50.5667,Bahrain,BH,Al ‘Āşimah,,,
Al Hujayr,26.1833,50.5500,Bahrain,BH,Al ‘Āşimah,,,
Mahazzah,26.1694,50.6261,Bahrain,BH,Al ‘Āşimah,,,
An Nuwaydirāt,26.1347,50.5975,Bahrain,BH,Al Janūbīyah,,,
Wādiyān,26.1580,50.6160,Bahrain,BH,Al ‘Āşimah,,,
Al Jubaylāt,26.1819,50.5533,Bahrain,BH,Al ‘Āşimah,,,
Salmābād,26.1831,50.5247,Bahrain,BH,Ash Shamālīyah,,,
Al Qaryah,26.1722,50.6106,Bahrain,BH,Al ‘Āşimah,,,
Tūblī,26.1869,50.5494,Bahrain,BH,Al ‘Āşimah,,,
Ar Rifā‘,26.1300,50.5550,Bahrain,BH,Al Janūbīyah,,,
‘Ālī,26.1619,50.5164,Bahrain,BH,Ash Shamālīyah,,,
Al Qadam,26.2156,50.5192,Bahrain,BH,Ash Shamālīyah,,,
