120_and_150_moe,state,county,tract,block_group,50_and_60_moe,150_and_200_moe,35_and_40,20_and_25,20_and_25_moe,40_and_45,25_and_30_moe,10_and_15,greater_than_200_moe,35_and_40_moe,60_and_75_moe,150_and_200,45_and_50_moe,40_and_45_moe,total_estimate_household,60_and_75,15_and_20,greater_than_200,less_than_10_moe,100_and_125,120_and_150,75_and_100_moe,75_and_100,100_and_125_moe,10_and_15_moe,30_and_35_moe,30_and_35,50_and_60,45_and_50,total_estimate_household_moe,15_and_20_moe,25_and_30,less_than_10
15,6,1,450604,4,12,38,19,0,12,0,12,0,34,21,12,61,16,12,234,7,0,85,12,21,10,22,20,24,12,12,0,0,11,36,12,0,0
63,6,1,437101,1,27,86,7,0,12,0,9,0,107,13,14,192,12,12,955,12,0,328,8,134,93,73,148,69,12,12,0,31,0,112,12,5,5
21,6,1,433103,2,66,12,74,32,50,10,12,0,12,65,47,0,12,15,479,55,40,0,59,17,13,57,61,20,12,43,34,65,8,107,51,8,62
43,6,1,451101,5,18,31,0,0,12,58,12,0,86,12,12,40,18,71,447,0,0,273,12,10,43,12,0,17,12,12,0,12,11,107,12,0,0
35,6,1,442601,1,24,50,19,0,12,10,19,0,56,20,26,109,12,15,464,24,0,112,26,8,54,31,39,13,12,23,20,23,0,66,12,18,28
45,6,1,442301,1,18,48,31,0,12,7,12,0,68,38,15,93,11,11,495,13,0,131,21,36,52,57,75,34,12,15,13,17,6,89,12,8,13
42,6,1,437701,3,13,12,27,10,15,36,12,11,12,33,47,0,12,38,234,53,0,0,32,19,37,18,12,30,17,12,0,8,0,69,12,0,21
25,6,1,437102,2,65,32,0,21,25,50,12,0,30,12,17,49,43,30,496,15,0,30,12,98,27,52,81,57,12,14,9,88,28,81,12,0,0
66,6,1,444602,1,42,63,0,31,39,0,17,10,82,12,46,136,12,12,1101,45,20,192,17,229,157,89,160,88,16,31,45,45,0,98,22,15,16
49,6,1,451505,2,12,69,0,21,23,0,53,0,63,12,35,185,12,12,787,45,0,215,12,89,128,35,47,43,12,15,10,0,0,61,12,47,0
33,6,1,451703,2,18,59,19,8,13,10,12,8,88,21,58,169,27,17,871,80,0,305,17,95,43,53,88,47,13,12,0,12,24,61,12,0,10
39,6,1,440308,4,17,47,73,36,38,28,21,23,46,56,26,81,12,35,578,36,35,55,15,69,24,32,44,52,17,20,18,16,8,99,37,19,13
39,6,1,444100,4,23,44,13,37,59,0,12,76,75,22,83,50,12,12,588,58,62,126,35,43,35,28,19,41,54,35,23,14,0,115,72,0,32
60,6,1,441924,3,12,79,30,0,12,99,12,12,58,34,27,133,21,95,858,24,12,118,20,181,117,59,90,97,21,26,17,0,13,101,20,0,12
31,6,1,441800,4,12,32,0,0,12,0,12,0,69,12,34,30,12,12,267,31,0,138,21,12,20,27,22,20,12,12,0,0,0,64,12,0,14
14,6,1,441523,1,15,39,9,0,12,8,12,0,68,17,11,62,12,13,552,6,0,149,12,209,8,35,63,86,12,32,29,9,0,88,12,0,0
40,6,1,403701,2,55,57,79,25,22,16,14,37,32,56,58,103,14,18,1018,98,25,53,62,187,76,75,131,75,47,39,32,60,9,109,23,9,78
12,6,1,433900,1,73,12,60,44,58,66,109,11,12,54,47,0,49,74,742,54,97,0,43,13,0,111,123,29,20,37,30,72,59,144,111,68,45
12,6,1,407600,3,58,22,20,13,22,0,50,0,49,33,22,13,52,12,406,14,10,44,35,58,0,43,45,75,12,58,37,47,33,102,21,43,29
15,6,1,401400,3,46,6,0,60,48,0,40,9,34,12,10,1,10,12,324,7,12,44,12,10,9,31,25,15,18,37,45,47,6,77,17,49,0
12,6,1,406601,4,50,12,6,12,17,0,12,0,12,11,12,0,12,12,195,0,10,0,12,34,0,31,32,25,12,49,40,47,0,76,15,7,7
57,6,1,442200,2,23,85,0,0,12,0,12,0,119,12,99,170,19,12,734,66,0,322,19,52,68,19,19,49,12,12,0,13,12,117,12,0,12
22,6,1,403300,2,96,84,113,60,43,0,12,184,27,107,39,69,45,12,1076,34,166,14,147,29,14,26,16,37,115,119,121,88,28,156,199,0,140
23,6,1,440200,1,55,24,0,0,12,21,7,0,12,12,39,29,48,27,379,37,0,0,10,72,27,51,74,47,12,12,0,66,42,74,12,5,6
26,6,1,407200,2,40,12,57,21,34,33,43,31,14,45,48,0,38,36,444,47,27,7,41,0,23,36,38,12,39,39,37,24,32,92,33,33,34
21,6,1,410400,1,35,12,7,46,45,0,19,0,18,12,46,0,12,12,371,55,15,12,12,41,25,58,105,37,12,15,10,35,0,79,25,12,8
28,6,1,404700,1,9,42,12,6,8,0,12,13,36,12,16,76,7,12,373,18,6,157,9,31,28,9,10,19,13,12,0,5,5,36,8,0,6
9,6,1,403400,4,71,35,44,0,12,0,23,106,42,42,89,31,68,12,698,125,0,37,56,66,1,59,111,49,103,12,0,66,58,122,12,15,38
28,6,1,404501,1,33,36,4,0,12,0,10,6,48,6,24,100,12,12,679,42,12,324,12,54,52,23,39,25,9,12,0,37,0,29,13,9,0
76,6,1,423300,1,12,49,0,75,50,12,12,59,33,12,24,79,13,20,519,26,26,48,12,0,133,39,39,12,50,7,4,0,8,96,31,0,10
15,6,1,437102,1,26,23,0,25,39,0,55,117,12,12,94,18,42,12,598,122,41,0,28,68,9,54,63,57,68,12,8,28,26,108,32,35,38
12,6,1,432600,2,46,21,47,11,19,57,12,15,12,46,30,12,30,74,526,26,51,0,31,87,0,85,95,73,24,44,36,43,18,118,59,0,28
26,6,1,405301,2,20,18,37,0,12,0,22,22,38,24,74,17,26,12,490,98,0,39,43,68,33,38,57,47,25,21,19,17,17,93,12,23,43
12,6,1,990000,0,12,12,0,0,12,0,12,0,12,12,12,0,12,12,0,0,0,0,12,0,0,12,0,12,12,12,0,0,0,12,12,0,0
23,6,1,437101,2,22,34,4,44,28,19,34,6,45,7,50,27,12,21,518,44,44,68,12,43,19,69,94,40,10,51,59,21,0,98,50,26,0
25,6,1,435602,3,12,15,10,0,12,11,12,58,19,14,26,9,47,17,360,27,10,18,56,70,29,15,10,56,53,24,25,8,29,109,16,0,46
54,6,1,435601,1,56,31,34,54,43,57,44,51,13,44,63,50,25,55,892,57,18,7,33,124,50,92,186,76,44,38,41,78,16,119,29,36,33
23,6,1,435602,1,41,17,18,9,14,0,41,9,8,20,16,15,65,12,401,10,0,3,21,46,25,69,119,32,14,12,0,26,67,92,12,36,18
91,6,1,436300,2,34,47,0,64,77,0,12,16,44,12,66,37,34,12,856,52,54,65,51,195,151,101,121,102,26,12,0,35,20,166,55,0,46
43,6,1,438100,4,22,54,14,0,12,14,12,0,54,22,39,47,49,21,380,24,38,75,12,35,42,54,45,38,12,12,0,14,32,79,43,0,0
14,6,1,440307,1,26,49,44,107,61,26,52,32,33,38,44,73,49,22,996,79,40,42,31,96,8,67,131,70,28,57,97,34,65,81,49,83,39
29,6,1,451602,2,83,51,0,0,12,0,12,0,55,12,19,70,12,12,491,11,29,71,12,63,18,95,95,48,12,26,31,103,0,110,32,0,0
34,6,1,408600,2,46,18,10,74,71,21,17,40,35,15,15,15,50,23,492,9,16,33,12,0,28,71,106,12,32,43,51,48,31,116,26,10,0
