,Year,Month,Start_Datetime,Restore_Datetime,Duration,Utility,NERC_Region,Area,Type,Loss_megawatts,Num_Customers_Affected
0,2013,1.0,2013-01-17 18:07:00,2013-01-20 19:30:00,4403.0,American Electric Power (AEP),RFC,"Southwest VA, Southern WV",Severe Weather - Winter Storm,,127000
1,2013,1.0,2013-01-17 19:02:00,2013-01-19 18:00:00,2818.0,Tennessee Valley Authority,SERC,Northeast TN,Severe Weather - Winter Storm,,80000
2,2013,1.0,2013-01-17 20:35:00,2013-01-17 21:20:00,45.0,North Carolina Eastern M P A,SERC,"Elizabeth City, NC",Distribution Interruption,40,12000
3,2013,1.0,2013-01-20 03:30:00,2013-01-23 06:15:00,4485.0,Detroit Edison Co,RFC,Southeastern MI,Severe Weather - Wind Storm,,146500
4,2013,1.0,2013-01-31 03:05:00,2013-01-31 04:48:00,103.0,Dominion Virginia Power,SERC,Central and Eastern VA,Severe Weather - Wind Storm,188,119000
5,2013,1.0,2013-01-31 06:30:00,2013-01-31 10:00:00,210.0,ISO New England,NPCC,CT,Severe Weather - Wind Storm,75,75000
6,2013,2.0,2013-02-08 11:38:00,2013-02-08 14:17:00,159.0,Potomac Electric Power Company,RFC,DC; Prince George's County MD,Equipment Trip & Failure,140,52000
7,2013,2.0,2013-02-08 20:00:00,2013-02-11 20:30:00,4350.0,ISO New England/National Grid,NPCC,Central and eastern MA; RI,Severe Weather - Winter Storm Nemo,,50000
8,2013,2.0,2013-02-08 20:55:00,2013-02-12 04:00:00,4745.0,ISO New England/NSTAR,NPCC,Boston area and Southeast MA,Severe Weather - Winter Storm Nemo,,50000
9,2013,2.0,2013-02-10 19:46:00,2013-02-10 20:15:00,29.0,Puerto Rico Electric Power Authority,,Puerto Rico,Generator Trip; Voltage Reduction,350,
10,2013,2.0,2013-02-13 17:39:00,2013-02-15 17:50:00,2891.0,Footprint Power Salem Harbor Operations LLC,NPCC,Eastern MA,Fuel Supply Emergency - Petroleum,1,1
11,2013,2.0,2013-02-19 16:01:00,2013-02-20 12:55:00,1254.0,Pacific Gas & Electric Co.,WECC,"Stockton, CA",Electrical System Separation (Islanding),13850,6810
12,2013,2.0,2013-02-26 13:00:00,2013-03-01 10:00:00,4140.0,"Associated Electric Coop, Inc",SERC,Northern MO,Severe Weather - Winter Storm Nemo,,56444
13,2013,3.0,2013-03-03 06:39:00,2013-03-03 10:29:00,230.0,Pacific Gas & Electric Co,WECC,"Merced County, CA",Transmission System Interruption,300,58850
14,2013,3.0,2013-03-04 09:49:00,2013-03-04 22:00:00,731.0,Puerto Rico Electric Power Authority,,Metropolitan area Puerto Rico,Equipment Failure; Transmission System Interruption,,
15,2013,3.0,2013-03-06 08:22:00,2013-03-07 10:27:00,1565.0,Dominion Virginia Power,SERC,Northwest VA,Severe Weather - Winter Storm,400,233000
16,2013,3.0,2013-03-18 05:21:00,2013-03-18 05:41:00,20.0,Puerto Rico Electric Power Authority,,Systemwide Puerto Rico,Generator Trip; Load Shed,350,262937
17,2013,3.0,2013-03-18 19:30:00,2013-03-20 14:30:00,2580.0,Southern Company,SERC,North/Central AL; GA,Severe Weather - Thunderstorms,800,240000
18,2013,4.0,2013-04-18 15:00:00,2013-04-21 03:30:00,3630.0,Detroit Edison Co,RFC,"Southeast MI, MI",Severe Weather - Storms and Wind,,99000
19,2013,4.0,2013-04-23 00:49:00,2013-04-23 04:04:00,195.0,Pacific Gas & Electric Co,WECC,South of Humboldt CA,Electrical System Separation (Islanding),80,1
20,2013,5.0,2013-05-01 09:22:00,2013-05-01 09:24:00,2.0,Xcel Energy/Public Service Company of Colorado,WECC,Northeast CO,Electrical System Separation (Islanding),123,35230
21,2013,5.0,2013-05-02 06:52:00,2013-05-02 10:07:00,195.0,WECC,WECC,Unknown,Electrical System Separation (Islanding),,
22,2013,5.0,2013-05-09 13:21:00,2013-05-09 16:21:00,180.0,WECC,WECC,"Alberta, Canada; WA State",Electrical System Separation (Islanding),,
23,2013,5.0,2013-05-13 12:52:00,2013-12-01 00:00:00,290108.0,California Department of Water Resources,WECC,Central CA,Fuel Supply Emergency - Hydro,176,
24,2013,5.0,2013-05-14 00:01:00,2013-05-14 13:59:00,838.0,PacifiCorp,WECC,"Portland, OR",Vandalism/Theft,,
25,2013,5.0,2013-05-20 15:00:00,2013-05-22 17:00:00,3000.0,Oklahoma Gas & Electric Co,SPP,"Moore, OK",Severe Weather - Tornados,,41306
26,2013,5.0,2013-05-20 17:22:00,2013-05-20 21:09:00,227.0,Entergy Transmission - SOC,SERC,Gonzales Area LA,Generator Trip; Load Shed 100+ MW,103,21800
27,2013,5.0,2013-05-22 10:51:00,2013-05-22 10:57:00,6.0,Puerto Rico Electric Power Authority,,System wide Puerto Rico,System Wide Voltage Reduction,280,197287
28,2013,5.0,2013-05-29 20:58:00,2013-05-31 14:53:00,2515.0,Niagara Mohawk Power Corp.,NPCC,Central and Eastern NY,Severe Weather - Thunderstorms,,61795
29,2013,5.0,2013-05-31 01:00:00,2013-05-31 01:30:00,30.0,"Southwest Power Pool, Inc.",SPP,"Maumelle, AR",Severe Weather - Lightning,,
30,2013,5.0,2013-05-31 18:00:00,2013-06-04 10:30:00,5310.0,Oklahoma Gas & Electric Co,SPP,"El Reno, S. OK City, OK",Severe Weather - Tornados,,127000
31,2013,5.0,2013-05-31 19:07:00,2013-06-01 14:15:00,1148.0,Coffeyville Municipal Light and Power,MRO,"Southeast KS, Northeast OK",Transmission System Interruption,102,6300
32,2013,5.0,2013-05-31 19:30:00,2013-06-01 20:00:00,1470.0,Ameren Missouri,SERC,St. Louis Metro Area MO,Severe Weather - Thunderstorms,,100000
33,2013,6.0,2013-06-03 12:50:00,2013-06-03 13:36:00,46.0,WECC RC Vancouver,WECC,"Alberta, Canada",Electrical System Separation (Islanding),,
34,2013,6.0,2013-06-13 13:17:00,2013-06-14 17:35:00,1698.0,Duke Energy Carolinas,SERC,Western Piedmont NC,Severe Weather - Thunderstorms,1000,175000
35,2013,6.0,2013-06-13 15:20:00,2013-06-14 21:10:00,1790.0,American Electric Power,RFC; SERC,OH; VA; WV,Severe Weather - Thunderstorms,,90247
36,2013,6.0,2013-06-13 15:30:00,2013-06-13 16:00:00,30.0,Potomac Electric Power Company,RFC,DC; MD,Loss of 300+ MW Load; Severe Weather - Thunderstorms,700,40000
37,2013,6.0,2013-06-13 16:08:00,2013-06-14 17:16:00,1508.0,Dominion Virginia Power,SERC,"Richmond Metro area, VA",Severe Weather - Thunderstorms,900,283000
38,2013,6.0,2013-06-13 17:45:00,2013-06-14 18:30:00,1485.0,Duke Energy Progress,SERC,Central and Eastern NC,Severe Weather - Thunderstorms,,53000
39,2013,6.0,2013-06-13 20:47:00,2013-06-14 22:47:00,1560.0,Southern Company,SERC,Southern Company Territory,Severe Weather - Thunderstorms,550,165798
