county,state,abbreviation,id,rank,education,income,unemployment,disability,life,obesity
Autauga,Alabama,AL,1001,1371.0,21.7,53773.0,6.5,1.6,76.1,38.0
Baldwin,Alabama,AL,1003,657.0,27.7,50706.0,6.8,1.0,77.7,34.0
Barbour,Alabama,AL,1005,2941.0,14.5,31889.0,11.2,2.9,74.7,47.0
Bibb,Alabama,AL,1007,2803.0,9.0,36824.0,7.6,2.6,74.2,43.0
Blount,Alabama,AL,1009,2000.0,12.4,45192.0,6.2,1.4,75.9,40.0
Bullock,Alabama,AL,1011,3083.0,11.9,34500.0,13.4,3.8,71.8,49.0
Butler,Alabama,AL,1013,2981.0,12.9,30752.0,10.9,3.2,73.8,45.0
Calhoun,Alabama,AL,1015,2451.0,16.0,40093.0,7.6,2.4,73.3,40.0
Chambers,Alabama,AL,1017,2967.0,11.0,32181.0,9.3,2.6,73.3,44.0
Cherokee,Alabama,AL,1019,2584.0,13.1,36241.0,7.1,2.2,74.7,41.0
Chilton,Alabama,AL,1021,2546.0,12.5,40834.0,6.5,2.1,73.9,43.0
Choctaw,Alabama,AL,1023,2873.0,11.9,35123.0,9.0,3.3,75.1,46.0
Clarke,Alabama,AL,1025,3011.0,12.7,30954.0,12.1,3.1,74.9,44.0
Clay,Alabama,AL,1027,2914.0,8.8,34556.0,9.3,2.6,74.2,42.0
Cleburne,Alabama,AL,1029,2564.0,9.5,37244.0,6.9,2.1,74.2,39.0
Coffee,Alabama,AL,1031,1602.0,22.6,44626.0,6.2,1.5,76.3,39.0
Colbert,Alabama,AL,1033,2398.0,18.0,40158.0,7.6,2.3,74.1,41.0
Conecuh,Alabama,AL,1035,3088.0,9.7,27064.0,11.6,3.6,73.8,45.0
Coosa,Alabama,AL,1037,2872.0,9.7,37425.0,8.2,2.7,73.9,45.0
Covington,Alabama,AL,1039,2591.0,13.8,35321.0,7.5,2.1,74.9,41.0
Crenshaw,Alabama,AL,1041,2739.0,11.0,37309.0,7.2,2.4,73.3,43.0
Cullman,Alabama,AL,1043,2194.0,14.2,39244.0,6.4,1.7,75.0,39.0
Dale,Alabama,AL,1045,2127.0,17.5,45247.0,7.3,2.1,75.7,42.0
Dallas,Alabama,AL,1047,3094.0,13.3,26178.0,13.7,6.2,72.0,48.0
DeKalb,Alabama,AL,1049,2643.0,9.9,36853.0,8.5,1.7,74.7,40.0
Elmore,Alabama,AL,1051,1476.0,21.1,55514.0,6.8,1.7,75.7,38.0
Escambia,Alabama,AL,1053,2849.0,12.2,31075.0,8.9,2.1,74.4,43.0
Etowah,Alabama,AL,1055,2502.0,15.2,37660.0,7.2,2.7,72.8,39.0
Fayette,Alabama,AL,1057,2881.0,11.6,33090.0,8.0,2.7,73.1,43.0
Franklin,Alabama,AL,1059,2609.0,12.2,37235.0,8.2,1.9,72.8,39.0
Geneva,Alabama,AL,1061,2717.0,10.9,33618.0,6.9,2.6,75.2,42.0
Greene,Alabama,AL,1063,3101.0,11.6,23777.0,11.4,5.4,74.0,51.0
Hale,Alabama,AL,1065,3066.0,11.7,29409.0,9.9,3.8,72.5,50.0
Henry,Alabama,AL,1067,2374.0,15.8,40680.0,7.3,1.8,75.2,44.0
Houston,Alabama,AL,1069,2046.0,19.3,41828.0,7.0,2.1,76.2,40.0
Jackson,Alabama,AL,1071,2424.0,13.2,37059.0,7.1,1.7,73.5,39.0
Jefferson,Alabama,AL,1073,1722.0,29.3,45415.0,6.8,2.5,74.8,39.0
Lamar,Alabama,AL,1075,2664.0,10.2,35271.0,7.6,2.2,74.5,39.0
Lauderdale,Alabama,AL,1077,1681.0,21.9,40701.0,6.7,1.7,75.8,37.0
Lawrence,Alabama,AL,1079,2660.0,13.0,39526.0,8.1,2.0,74.0,43.0
Lee,Alabama,AL,1081,1237.0,31.3,43189.0,6.3,1.4,77.5,38.0
Limestone,Alabama,AL,1083,1397.0,21.9,48197.0,6.2,1.3,77.1,40.0
Lowndes,Alabama,AL,1085,3072.0,14.2,28023.0,14.1,4.8,73.3,48.0
Macon,Alabama,AL,1087,2818.0,19.5,27957.0,9.8,3.4,71.8,47.0
Madison,Alabama,AL,1089,667.0,37.8,58242.0,6.2,1.2,77.3,36.0
Marengo,Alabama,AL,1091,2813.0,17.7,34515.0,9.4,4.5,73.6,46.0
Marion,Alabama,AL,1093,2824.0,8.7,31970.0,9.1,2.1,73.4,39.0
Marshall,Alabama,AL,1095,2202.0,15.3,38649.0,7.0,1.6,74.1,38.0
Mobile,Alabama,AL,1097,2216.0,20.3,42973.0,8.4,2.2,74.8,40.0
Monroe,Alabama,AL,1099,3035.0,9.9,30996.0,12.3,2.7,74.3,44.0
Montgomery,Alabama,AL,1101,1910.0,30.9,44401.0,7.7,2.7,75.7,41.0
Morgan,Alabama,AL,1103,1833.0,19.5,45852.0,7.0,1.7,75.4,39.0
Perry,Alabama,AL,1105,3114.0,11.0,31008.0,12.9,6.9,72.5,50.0
Pickens,Alabama,AL,1107,3020.0,9.8,28762.0,9.0,3.3,74.0,45.0
Pike,Alabama,AL,1109,2458.0,22.5,31702.0,7.0,2.8,74.4,43.0
Randolph,Alabama,AL,1111,2838.0,11.9,35074.0,8.9,2.5,74.1,42.0
Russell,Alabama,AL,1113,2845.0,14.7,33591.0,9.1,2.3,72.5,45.0
St. Clair,Alabama,AL,1115,1843.0,14.9,49652.0,6.4,1.5,75.4,40.0
Shelby,Alabama,AL,1117,175.0,40.5,69379.0,5.0,0.8,79.2,35.0
Sumter,Alabama,AL,1119,2994.0,15.3,22655.0,11.6,4.9,74.0,48.0
Talladega,Alabama,AL,1121,2856.0,12.3,35209.0,8.1,3.2,73.3,44.0
Tallapoosa,Alabama,AL,1123,2523.0,15.5,38611.0,8.5,2.7,75.6,41.0
Tuscaloosa,Alabama,AL,1125,1806.0,26.6,43996.0,6.6,2.1,75.2,40.0
Walker,Alabama,AL,1127,2783.0,10.3,37408.0,7.5,3.0,71.6,41.0
Washington,Alabama,AL,1129,2832.0,9.5,42256.0,11.4,2.2,74.7,43.0
Wilcox,Alabama,AL,1131,3119.0,11.1,24212.0,16.4,8.0,73.6,50.0
Winston,Alabama,AL,1133,2822.0,11.7,32830.0,9.8,2.0,73.5,40.0
Apache,Arizona,AZ,4001,2987.0,10.3,31615.0,19.6,2.7,73.0,43.0
Cochise,Arizona,AZ,4003,1026.0,22.4,45505.0,8.2,0.9,78.0,34.0
Coconino,Arizona,AZ,4005,652.0,30.7,48320.0,8.1,1.0,78.8,30.0
Gila,Arizona,AZ,4007,2210.0,15.6,38504.0,9.4,1.8,76.0,37.0
Graham,Arizona,AZ,4009,2146.0,12.9,44421.0,8.9,1.2,76.8,41.0
Greenlee,Arizona,AZ,4011,1315.0,12.4,49692.0,6.0,0.6,76.8,38.0
La Paz,Arizona,AZ,4012,2091.0,10.0,35093.0,9.2,0.8,79.9,41.0
Maricopa,Arizona,AZ,4013,283.0,29.5,54385.0,7.1,0.9,79.9,32.0
Mohave,Arizona,AZ,4015,2148.0,12.2,39383.0,9.9,1.3,75.7,34.0
Navajo,Arizona,AZ,4017,2648.0,14.6,37683.0,15.2,2.6,75.3,39.0
Pima,Arizona,AZ,4019,635.0,29.4,46443.0,7.3,1.1,78.9,32.0
Pinal,Arizona,AZ,4021,1270.0,18.3,50164.0,8.9,0.9,80.3,40.0
Santa Cruz,Arizona,AZ,4023,1345.0,19.3,37692.0,17.2,0.3,79.4,35.0
Yavapai,Arizona,AZ,4025,899.0,24.4,43652.0,8.6,0.9,78.7,29.0
Yuma,Arizona,AZ,4027,1800.0,14.2,41156.0,27.5,0.6,79.9,40.0
Arkansas,Arkansas,AR,5001,2617.0,13.0,39883.0,7.7,2.3,74.7,42.0
Ashley,Arkansas,AR,5003,2835.0,13.1,38069.0,12.5,2.6,74.9,42.0
Baxter,Arkansas,AR,5005,1885.0,15.5,35209.0,7.7,1.5,76.5,34.0
